5-fold-cv-standalone-test
/data3/shcho/bci_ai/datasets/acrobat/features/resnet50_finetune2/train/acrobat.csv /data3/shcho/bci_ai/datasets/acrobat/features/resnet50_finetune2/train/1/213_HER2_train.csv
Intermediate training files already exist : temp_train_resnet50_finetune2. Skipping creation.
Creating intermediate testing files : temp_test_resnet50_finetune2
Starting CV fold 0.

 Training bag [1/381] bag loss: 4.9518
 Training bag [11/381] bag loss: 4.7353
 Training bag [21/381] bag loss: 4.7150
 Training bag [31/381] bag loss: 4.7305
 Training bag [41/381] bag loss: 4.7251
 Training bag [51/381] bag loss: 4.7103
 Training bag [61/381] bag loss: 4.7635
 Training bag [71/381] bag loss: 4.7351
 Training bag [81/381] bag loss: 4.7153
 Training bag [91/381] bag loss: 4.7097
 Training bag [101/381] bag loss: 4.7244
 Training bag [111/381] bag loss: 4.7319
 Training bag [121/381] bag loss: 4.8089
 Training bag [131/381] bag loss: 4.7440
 Training bag [141/381] bag loss: 4.7173
 Training bag [151/381] bag loss: 4.7098
 Training bag [161/381] bag loss: 4.7104
 Training bag [171/381] bag loss: 4.7233
 Training bag [181/381] bag loss: 4.7423
 Training bag [191/381] bag loss: 4.7312
 Training bag [201/381] bag loss: 4.7170
 Training bag [211/381] bag loss: 4.7234
 Training bag [221/381] bag loss: 4.7570
 Training bag [231/381] bag loss: 4.7184
 Training bag [241/381] bag loss: 4.7307
 Training bag [251/381] bag loss: 4.7132
 Training bag [261/381] bag loss: 4.7459
 Training bag [271/381] bag loss: 4.7151
 Training bag [281/381] bag loss: 4.7109
 Training bag [291/381] bag loss: 4.7300
 Training bag [301/381] bag loss: 4.7368
 Training bag [311/381] bag loss: 4.7202
 Training bag [321/381] bag loss: 4.7168
 Training bag [331/381] bag loss: 4.7148
 Training bag [341/381] bag loss: 4.7365
 Training bag [351/381] bag loss: 4.7619
 Training bag [361/381] bag loss: 4.7052
 Training bag [371/381] bag loss: 4.7144
 Training bag [381/381] bag loss: 4.7110
 Testing bag [1/96] bag loss: 1.1706
 Testing bag [2/96] bag loss: 1.0200
 Testing bag [3/96] bag loss: 1.2473
 Testing bag [4/96] bag loss: 1.5569
 Testing bag [5/96] bag loss: 0.5665
 Testing bag [6/96] bag loss: 1.8064
 Testing bag [7/96] bag loss: 1.2933
 Testing bag [8/96] bag loss: 2.1893
 Testing bag [9/96] bag loss: 1.0224
 Testing bag [10/96] bag loss: 0.8165
